Name,Description,Price,Rating,URL,image,Categories[]
Canon EOS Rebel T7 DSLR,Beginner-friendly DSLR that delivers stunning photo quality.,649.99,4.5,https://www.amazon.ca/dp/B07C2Z21X5/,Canon-EOS-Rebel-T7-DSLR.jpg,Photography
Nikon Z50 Mirrorless Camera,"Compact mirrorless camera ideal for versatile, high-resolution photography.",998,4.4,https://www.amazon.ca/dp/B07Z1V8KW1/,Nikon-Z50-Mirrorless-Camera.jpg,Photography
GoPro HERO13,Rugged action camera with superior stabilization for adventurous filming.,527,4.4,https://www.amazon.ca/dp/B0DCM34GXX/,GoPro-HERO13.jpg,Photography
Sony WH-1000XM4 Headphones,Industry-leading noise cancelling headphones with premium sound.,428,4.4,https://www.amazon.ca/dp/B0863TXGM3/,Sony-WH-1000XM4-Headphones.jpg,Wireless Earbuds
Beats Studio pro Headphones,Stylish over-ear headphones with excellent noise cancellation.,279.95,4.3,https://www.amazon.ca/dp/B0C8PR4W22/,Beats-Studio-pro-Headphones.jpg,Wireless Earbuds
KitchenAid Stand Mixer,"Iconic stand mixer ideal for baking enthusiasts, with versatile attachments.",474.99,4.6,https://www.amazon.ca/dp/B00005UP2P/,KitchenAid-Stand-Mixer.jpg,"Kitchen supplies, Home essentials"
Cuisinart Air Fryer,"Multi-functional oven for baking, broiling, and air frying delights.",194.65,4.6,https://www.amazon.ca/dp/B0CHLLWJVF/,Cuisinart-Air-Fryer.jpg,"Kitchen supplies, Home essentials"
Roomba i5 Robot Vacuum,Smart vacuum that maps your home and empties itself automatically.,367.35,3.8,https://www.amazon.ca/dp/B0C4N37V2Z,Roomba-i5-Robot-Vacuum.jpg,Home essentials
Meta Quest 3S,All-in-one virtual reality headset for immersive gaming and experiences.,399.99,4.3,https://www.amazon.ca/dp/B0DDK1WM9K/,Meta-Quest-3S.jpg,VR Headsets
Dell XPS 16 Laptop,"Sleek, ultraportable laptop ideal for both work and creative projects.",2000,4.2,https://www.dell.com/en-ca/shop/cty/pdp/spd/xps-16-9640-laptop,Dell-XPS-16-Laptop.jpg,Laptops
Microsoft Surface 7 laptop,Versatile 2-in-1 tablet-laptop hybrid with touchscreen and pen support.,1449.99,4.7,https://www.microsoft.com/en-ca/store/configure/surface-laptop-7th-edition/8tq2hq5xxkj9,Microsoft-Surface-7-laptop.avif,Laptops
Bose SoundLink Flex,Portable speaker with excellent sound quality,189.99,4.7,https://www.amazon.ca/dp/B0D6WD2QSQ/,Bose-SoundLink-Flex.jpg,Music
Apple Watch Series 10,Advanced smartwatch featuring comprehensive health monitoring features.,589.99,4.6,https://www.amazon.ca/dp/B0DGJFPPRQ/,Apple-Watch-Series-10.jpg,Smartwatches
Polaroid Now,Modern twist on instant photography with creative shooting modes.,199.99,4.3,https://www.amazon.ca/dp/B0BVNMK48Q/,Polaroid-Now.jpg,Photography
Lego Flower Bouquet,Realistic LEGO Mixed Flower Bouquet,79.99,4.8,https://www.amazon.ca/dp/B08HW1L75J/,Lego-Flower-Bouquet.jpg,"Board Games, Toys, DIY Crafts"
Lego Twilight The Cullen House,Recreate the excitement of the film with a replica of the iconic Twilight The Cullen House,279.99,4.5,https://www.lego.com/en-ca/product/twilight-the-cullen-house-21354,Lego-Twilight-The-Cullen-House.webp,"Board Games, Toys, DIY Crafts"
Lego Ferrari SF-24 F1 Car,Perect for any F1 fan. The Ferrari SF-24 F1 Car gives fans a display piece that showcases their passion for the sport and for the team they love.,299.99,4.6,https://www.amazon.ca/dp/B0DHLG5BTD/,Lego-Ferrari-SF-24-F1-Car.jpg,"Board Games, Toys, DIY Crafts"
Smeg Retro Style Toaster,Vintage-inspired toaster combining retro aesthetics with modern performance.,239.99,4,https://www.amazon.ca/dp/B01EHPISEI/,Smeg-Retro-Style-Toaster.jpg,"Kitchen supplies, Home essentials"
Keurig K-Elite Coffee Maker,Single-serve coffee maker offering customizable brew strength.,253.49,4.6,https://www.amazon.ca/dp/B0788F3R8X/,Keurig-K-Elite-Coffee-Maker.jpg,"Coffee, Kitchen supplies, Home essentials"
Clearwater Fly Rod Outfit,"Hands down the best fly rod you can buy for the money, this well-appointed series includes rods to cover every angler.",429,4.8,https://www.orvis.com/product/clearwater-fly-rod-outfit/3ASN.html,Clearwater-Fly-Rod-Outfit.webp,"Sports,Fishing"
Men’s Clearwater Waders,"These waders are lightweight and breathable, and pack in a ton of features at a great value.",249,4.4,https://www.orvis.com/product/mens-clearwater-waders/2TZX.html,Mens-Clearwater-Waders.webp,"Sports,Fishing"
The North Face Apex Bionic Jacket,"Windproof, water-resistant jacket ideal for outdoor adventures.",214.99,4.4,https://www.amazon.ca/dp/B0CNC787R4/,The-North-Face-Apex-Bionic-Jacket.jpg,"winter-wear, Hiking, Skiing"
Patagonia Down Sweater,Lightweight down jacket designed for warmth and outdoor performance.,349,4.2,https://www.patagonia.ca/product/mens-down-sweater-insulated-jacket/195699016613.html?gad_source=1&gclid=CjwKCAjwtdi_BhACEiwA97y8BJPMBOiKRi4cgMWRC75niQrFoqq0Y2hiks60ifb23fVli3DxHPLFIxoCYGwQAvD_BwE,Patagonia-Down-Sweater.webp,"winter-wear, Hiking, Skiing"
Mens L.L.Bean Bean Boots,Durable and comfortable boots perfect for winter outings and work.,199,4.7,https://www.llbean.ca/llb/shop/1000254855.html?pla1=0&qs=3156731&gad_source=1&gclid=CjwKCAjwtdi_BhACEiwA97y8BKv9IZ-buT1oVFvTUYfVeY5vK_h5iu6SVPP5BKToCC3oUVURzBzxhhoCqUQQAvD_BwE&gclsrc=aw.ds,Mens-L.L.Bean-Bean-Boots.jpg,"winter-wear, Hiking"
Columbia Watertight II Jacket,waterproof nylon shell durable enough to withstand anything from drizzle to downpour at a moment's notice.,119.99,4.5,https://www.amazon.ca/dp/B0CLR98667/,Columbia-Watertight-II-Jacket.jpg,"Hiking, Camping"
Birkenstock Sandals,Iconic sandals with a cork footbed delivering comfort and style.,145,4.7,https://www.birkenstock.com/ca/arizona-birko-flor-birkibuc/arizona-core-birkoflornubuck-0-eva-u_650.html?dwvar_arizona-core-birkoflornubuck-0-eva-u__650_width=N&dwvar_arizona-core-birkoflornubuck-0-eva-u__650_size=285&gad_source=1&gclid=CjwKCAjwtdi_BhACEiwA97y8BJrAWSN4ryaCL0ytCrPgw0BgC9hnPfiNQOq1PHZosHQw3NYMKHTwABoCP1MQAvD_BwE,Birkenstock-Sandals.avif,"Beach Trips, Streetwear"
Ray-Ban Aviator Sunglasses,Classic aviators offering timeless style and full UV protection.,228,4.4,https://www.amazon.ca/dp/B002ZLYRNI/,Ray-Ban-Aviator-Sunglasses.jpg,"Sunglasses, Streetwear"
Oakley Holbrook Sunglasses,Durable sunglasses designed for active lifestyles and high impact sports.,218,4.7,https://www.oakley.com/en-ca/product/W0OO9102?variant=888392279606,Oakley-Holbrook-Sunglasses.webp,"Sunglasses, Streetwear"
Fossil Men's Chronograph Watch,Sophisticated chronograph watch that blends style with functionality.,129.99,4.7,https://www.fossil.com/en-ca/products/sullivan-multifunction-stainless-steel-watch/BQ2853.html?utm_source=google&utm_medium=cpc&utm_campaign=G_CA_Fossil_PMAX_Watches&utm_content=&utm_term=&gclsrc=aw.ds&gad_source=1&gclid=CjwKCAjwtdi_BhACEiwA97y8BPTllGzwS-KqUwlZyu7svdy1b1-rCDwkmVub3FvqXS3euPt-oPbo6RoC-TYQAvD_BwE,Fossil-Mens-Chronograph-Watch.webp,Watches
Kate Spade New York Handbag,Chic handbag featuring a classic design and premium craftsmanship.,249.99,4.8,https://www.katespade.com/products/hudson-colorblocked-convertible-crossbody/KF853-021.html?src=paid&srsltid=AfmBOortCmv44eMi2hVSYxMNAdjJ9tf3A4hjXu5zGF4cRNtI_HBF5zkaBfE&gPromoCode=KS_RTL_04_04_25CA,Kate-Spade-New-York-Handbag.avif,Handbags
Coach Messenger Bag,Stylish and practical messenger bag ideal for work and travel.,480,4.7,https://ca.coach.com/en/products/league-messenger-bag/CU042.html,Coach-Messenger-Bag.webp,Handbags
Tiffany & Co. Heart Tag Bracelet,Elegant bracelet with a heart-shaped tag that signifies love.,505,4.8,https://www.tiffany.ca/jewelry/bracelets/return-to-tiffany-full-heart-bracelet-GRP12895/,Tiffany-Co.Heart-Tag-Bracelet.webp,Jewelry
Pandora Charm Bracelet,Customizable charm bracelet that lets you celebrate lifes moments.,110,4.8,https://ca.pandora.net/en/bracelets/charm-bracelets/studded-chain-heart-clasp-charm-bracelet/593853C00.html,Pandora-Charm-Bracelet.jpg,Jewelry
Hudson Jeans Denim Jacket,Classic denim jacket offering a timeless look for casual style.,138,4.6,https://www.hudsonjeans.com/products/raglan-sleeve-cropped-denim-jacket-copy,Hudson-Jeans-Denim-Jacket.jpg,Vintage Clothing
Levi's 501 Original Jeans,Iconic straight-fit jeans for a versatile and enduring style.,79.99,4.7,https://www.levi.com/CA/en_CA/clothing/men/jeans/straight/501-original-fit-mens-jeans/p/005010193,Levis-501-Original-Jeans.jpg,"Vintage Clothing, Streetwear"
Nike Air Max Sneakers,Comfortable sneakers with iconic design and superior cushioning.,170,4.8,https://www.nike.com/ca/t/air-max-90-shoe-R0p58M/CN8490-002?nikegos=true,Nike-Air-Max-Sneakers.png,Sneakers
Adidas Ultraboost Shoes,High-performance running shoes with responsive cushioning technology.,240,4.8,https://www.adidas.ca/en/ultraboost-5x-shoes/IH3110.html?forceSelSize=11,Adidas-Ultraboost-Shoes.avif,Sneakers
Vans Classic Slip-On,"Easy, stylish slip-ons that combine comfort with street-inspired design.",70,4.6,https://www.vans.com/en-ca/p/shop-5000/classic-slip-on-shoe-VN000EYEBLK,Vans-Classic-Slip-On.avif,"Sneakers,Streetwear"
UGG Women's Slipper,"Soft, cozy slippers ideal for relaxing at home or on a chilly morning.",125,4.5,https://www.amazon.ca/dp/B083RTXRY1,UGG-Womens-Slipper.jpg,Cozy Blankets
Burberry Scarf,Luxurious silk scarf featuring iconic design and premium materials.,320,4.9,https://us.burberry.com/scarves,Burberry-Scarf.webp,Luxury Clothing
North Face Beanie,Cozy knit beanie perfect for keeping warm during outdoor adventures.,34.99,4.8,https://www.thenorthface.com/en-ca/p/shop-all/beanies-829866/tnf-logo-box-cuffed-beanie-NF0A3FJX?color=JK3&utm_medium=organic&utm_source=google&utm_campaign=freeshopping&utm_term=The+North+Face+TNF+Logo+Box+Cuffed+Beanie:+Black&utm_content=ecomm,North-Face-Beanie.avif,"Beanies, winter-wear, Hiking"
Columbia Fleece Jacket,Comfortable fleece jacket that combines warmth with everyday style.,99.99,4.9,https://www.columbiasportswear.ca/en/p/mens-triple-canyon-grid-fleece-ii-full-zip-jacket-2094961.html?dwvar_2094961_color=278,Columbia-Fleece-Jacket.webp,"winter-wear, Hiking"
Lululemon Yoga Pants,High-quality yoga pants designed for comfort and flexibility.,108,4.9,https://shop.lululemon.com/en-ca/p/womens-leggings/Align-HR-Mini-Flare-32/_/prod11250400?color=0001,Lululemon-Yoga-Pants.webp,"Yoga, Exercise"
Manduka Pro Yoga Mat,Durable yoga mat with superior cushioning and grip for every practice.,188,4.2,https://www.manduka.com/en-ca/products/manduka-pro-yoga-mat,Manduka-Pro-Yoga-Mat.webp,"Yoga, Exercise"
Peloton Bike,Premium indoor cycling bike that streams live classes for interactive workouts.,1845,4.5,https://www.onepeloton.com/bike,Peloton-Bike.webp,"Cycling, Exercise"
REI Co-op Half Dome 2 Plus Tent,"Spacious, reliable tent perfect for family camping adventures.",349,4.9,https://www.rei.com/product/128692/rei-co-op-half-dome-2-plus-tent-2020,REI-Co-op-Half-Dome-2-Plus-Tent.jpg,Camping
Coleman RoadTrip 285 Portable Grill,Portable propane grill ideal for picnics and outdoor cookouts.,349.99,4.7,https://www.amazon.ca/dp/B07NQ3ZZJL/,Coleman-RoadTrip-285-Portable-Grill.jpg,Camping
Yeti Hopper Cooler,High-performance portable cooler designed to keep your food frozen.,399.99,4.7,https://www.amazon.ca/dp/B0D6WY2KT1/,Yeti-Hopper-Cooler.jpg,Camping
Vango Skydome Tent,Lightweight and easy-to-set-up tent for spontaneous outdoor trips.,167.99,4.3,https://www.amazon.ca/dp/B08SG3VGD5/,Vango-Skydome-Tent.jpg,Camping
Garmin inReach SE+,Satellite communicator with navigation built for outdoor adventures.,439.99,4.2,https://www.amazon.ca/dp/B01MRZ9ATL/,Garmin-inReach-SE.jpg,Camping
SanDisk 2TB Extreme Portable SSD,"Fast, rugged SSD for on-the-go storage and reliability.",209.99,4.8,https://www.amazon.ca/dp/B08HN37XC1/,SanDisk-2TB-Extreme-Portable-SSD.jpg,Office supplies
Seagate 2TB External Hard Drive,Reliable external hard drive for backups and extra storage.,120.99,4.5,https://www.amazon.ca/dp/B07CRG94G3/,Seagate-2TB-External-Hard-Drive.jpg,Office supplies
Apple iPhone 16,Flagship smartphone with an advanced camera system and top performance.,999.99,4.9,https://www.apple.com/iphone-16/,Apple-iPhone-16.webp,Smartphones
Samsung Galaxy S25,High-end smartphone with cutting-edge features and a sleek design.,1198.99,4.8,https://www.samsung.com/ca/smartphones/galaxy-s25/buy/,Samsung-Galaxy-S25.jpg,Smartphones
Google Pixel 9,Googles flagship phone featuring exceptional camera performance and AI.,1079.99,4.7,https://store.google.com/us/product/pixel_9,Google-Pixel-9.jpg,Smartphones
OnePlus 13,Premium smartphone known for its fast charging and high performance.,969,4.8,https://www.oneplus.com/ca_en/oneplus-13,OnePlus-13.png,Smartphones
Sony PlayStation 5 slim,Next-generation gaming console offering immersive graphics and speed.,579.99,4.6,https://www.amazon.ca/dp/B0CL7NKBBL/,Sony-PlayStation-5-slim.jpg,"Video games,Gaming Consoles"
Xbox Series X,Powerful gaming console delivering ultimate performance and game variety.,649.99,4.9,https://www.xbox.com/en-CA/consoles/xbox-series-x,Xbox-Series-X.png,"Video games,Gaming Consoles"
Nintendo Switch 2,Next-generation gaming console offering immersive graphics and speed.,629.99,4.9,https://www.nintendo.com/us/gaming-systems/switch-2/,Nintendo-Switch-2.avif,"Video games,Gaming Consoles"
Nintendo Switch OLED,Enhanced Nintendo Switch with a vibrant OLED screen for superior visuals.,449.99,4.8,https://www.nintendo.com/switch/oled-model,Nintendo-Switch-OLED.avif,"Video games,Gaming Consoles"
Canon PIXMA Wireless Printer,"Reliable, all-in-one printer featuring wireless connectivity.",124.99,4,https://www.amazon.ca/dp/B09CDXKNB9/,Canon-PIXMA-Wireless-Printer.jpg,"Office supplies, Photography"
HP Envy 6555 All-in-One Printer,"Compact printer that offers scanning, copying, and wireless printing.",149.99,4.7,https://www.amazon.ca/dp/B0D7KCJT3W/,HP-Envy-6555-All-in-One-Printer.jpg,"Office supplies, Photography"
Razer Huntsman Elite Gaming Keyboard,Mechanical gaming keyboard with customizable RGB lighting.,249.99,4.5,https://www.amazon.ca/dp/B07DHNX18W,Razer-Huntsman-Elite-Gaming-Keyboard.jpg,Mechanical Keyboards
Ernie Ball Instrument Cable Black 18 ft,"Flexible, tangle resistant cable perfect for music lovers",41.99,4.8,https://www.amazon.ca/Ernie-Ball-Instrument-Cable-P06086/dp/B07N6WBRXN?ref=dlx_deals_dg_dcl_B07N6WBRXN_dt_sl14_e5&pf_rd_r=940JH0SYVTW9BHWR4RW8&pf_rd_p=a4f9c58a-2ade-46db-9cfe-bc5547d4e6e5&th=1,Ernie-Ball-Instrument-Cable-Black-18ft.jpg,Music
TYMO Automatic Rotating Curling Iron,"Quick, easy curls for beginners. Designed with a cool-to-the-touch 360° anti-scald design, this curler is safe for both kids and adults",79.99,4.4,https://www.amazon.ca/TYMO-Automatic-Rotating-Curling-Iron/dp/B0DBZS6MHK?ref=dlx_deals_dg_dcl_B0DBZS6MHK_dt_sl14_e5_pi&pf_rd_r=NST5NP37SBCDRH8X0N7H&pf_rd_p=a4f9c58a-2ade-46db-9cfe-bc5547d4e6e5&th=1,TYMO-Automatic-Rotating-Curling-Iron.jpg,Beauty
Batman: The Doom That Came to Gotham,"In this tale of horror in Gotham City co-written by Hellboy creator Mike Mignola, Bruce Wayne unintentionally brings a dark evil back from a rescue mission.",19.49,4.6,https://www.amazon.ca/Batman-Doom-That-Came-Gotham/dp/1779521499?crid=4080G58XUNVL&dib=eyJ2IjoiMSJ9.VJdso0zVzjxsUo4GAsrO2H0ukNMXj6oehUme5ps8kVHH_3ZOBVZSg_a9lSXqTQSbd8ZGpma7yq5R2RddPMQ0_hef1R1xzCmqKKj1bUqAMo1Db2286GFNmuVkAuhlSrFhJwzIIGM1OkeBhCZaVH66-zyxRplnMztz3nYpZOddUA08PZjFuTbOUpWjqs7e_sjZj5U9XFkapupqSoGzHnyifsjGud592vshGhTnEmznzGaLNbNFg5HlIrFib_CT8CPgoMzNLeXzl_Z9DRRO4jh2y2MjuHRjFzGXQ5avo3h7b5k._w5ppedGbtfV1XAVAnXL3yh91gsKo849UeIwzVIxoe8&dib_tag=se&keywords=comics&psr=EY17&qid=1744089361&s=todays-deals&sprefix=comics%2Ctodays-deals%2C119&sr=1-24,Batman-The-Doom-That-Came-to-Gotham.jpg,"Comics, Graphic Novels"
Mattel Minecraft Steve Large-Scale Action Figure,Authentically detailed large-scale action figure inspired by A Minecraft Movie,64.99,4.8,https://www.amazon.ca/Mattel-Minecraft-Statement-Scale-Steve/dp/B0D9R8GPTM?crid=1P0YE0QN0UQYT&dib=eyJ2IjoiMSJ9.E_Qt-DtyyANNrxw3j1ZF3PB8qQF46HkzPs2b3GKLjY6NYp0RfgbrPOtyRERxXsWl7crAjLiO3XiFEoi5nCdn2vK0XWWUDvOE4Lm0hP8288dA8ZsiDhDksD3syX4qfDLdwZUXT26VngNn2w_U9O6EMy3nwKS8qHf0NouOtrPO51vO4-kkgrXYn04TS6x5rCpg7K_937TWF9uNmsI2A4csBVlITCkL9Y3LYy83raQbylDTm-K5zdvi3P_BPxYEQhYQRuZXAwQ_F688Q7Z1FyeeDs0rEc5HaLVbfEHC3gJwjQY.-1AGTq0fekyu3rEiU92jzudKj7LZvF9YXRFU_98jpnM&dib_tag=se&keywords=minecraft+movie&qid=1744089510&sprefix=minecraft+movie%2Caps%2C114&sr=8-15,Mattel-Minecraft-Steve Large-Scale Action-Figure.jpg,"Toys, Movies"
I Paused My Game to Be Here T-Shirt,Funny tee shirt sure to get a laugh from any video game player,13.99,4.6,https://www.amazon.ca/Paused-Funny-Gaming-Player-T-Shirt/dp/B07CYC7CDC?crid=2LDD8C4E0SG4L&dib=eyJ2IjoiMSJ9.Yw-v0JOlRxqUeIICgbBPLYax7Yc9rVSvID0cAkIFKjJezMiBOsihem0pgRipiIllzGEvL9ngbPKEsO92cWH2Eu1sKM-1mz1KnnJIvUzzHg0jyMgu1kyIQqTQwy-A9R3Y2YjtqoZAAQeTCzX369DbaQ8OevZYgcvYfBgiI64ZZtivTqOlQNz3oiEraJ6w8uRjkciy5_RI3UbnEgJ35z6KSC6v0rItB5hStj7we7289QvMbqYWx_RT0aVUhLUqXN0VoICZ-hSSr2O23-1jgNwNd7bJ3B_W4HcrWdeL6PTZ6RY.MBJutD6GVIO44wfp0mU3-h7WUvVdcIxzZZCYQcmi1fY&dib_tag=se&keywords=i%2Bpaused%2Bmy%2Bgame%2Bto%2Bbe%2Bhere&qid=1744089839&sprefix=I%2Bpaused%2B%2Caps%2C91&sr=8-5&th=1&psc=1,I-Paused-My-Game-to-Be-Here-T-Shirt.jpg,Video games
Bringing It All Back Home (Vinyl) ,Revolutionary folk rock album from Bob Dylan that blends acoustic and electric songs with great effect,37.99,4.7,https://www.amazon.ca/dp/B09F14G4F6?ref=ppx_yo2ov_dt_b_fed_asin_title, Bringing-It-All-Back-Home-(Vinyl).jpg,Music
Harry Potter Box Set: The Complete Collection,Beautiful boxed set containing all seven Harry Potter novels in paperback,73.54,4.8,https://www.amazon.ca/Harry-Potter-Box-Set-Collection/dp/1408856778?ref_=Oct_d_otopr_d_927790_4&pd_rd_w=QAgQL&content-id=amzn1.sym.c8e7e75e-d76e-4f67-bacf-4e7f5fa2cf7b&pf_rd_p=c8e7e75e-d76e-4f67-bacf-4e7f5fa2cf7b&pf_rd_r=GZERWD1W4MZMZZE096S7&pd_rd_wg=1B7Xp&pd_rd_r=29ef1693-35b4-49ef-93ff-ab250a6a2222&pd_rd_i=1408856778,Harry-Potter-Box-Set-The-Complete-Collection.jpg,Books
MR. NOODLES Cup Spicy Chicken 64g x 12 ,"Spicy Chicken flavoured noodles in a cup that is a great choice for snacks, lunch or dinner",15.49,4.5,https://www.amazon.ca/Mr-Noodles-Spicy-Chicken-12x64g/dp/B08TM1QWK3?crid=2PDZJ4LI1BL7O&dib=eyJ2IjoiMSJ9.pHzXiQbL9lH9Gb1IUEjwth7aDfDmC8_9jqAfnWuJyZqTeQJZ1oeRkl-ryYLA7Sz7QCBRvgx6QT2nmzHDcUmH2WrqtngI3Y1SjUoitJ2S84lErbqftPVp_xiE4kS4CgZUineLVSRIZ8uD96zwnEg-Y1PjNnfGf31PaqWebF3XkLWS9oxtJ1Wa3kd4OFLDkGPwh71hIUvwl-TL22AHnKcsU85LaDKw9nTk-0_WzbpC4B1MxLTWVtfbn6mWVopsjQpOL_XvUjrKLe48CbJqcQNyXB9GIHaoLM4QXVJxOCl7a6U.h-3SwM__trm3NU0JtrC4BLyNRA1ocXhQpk641MjhRvA&dib_tag=se&keywords=spicy%2Bramen&qid=1744090428&sprefix=spicy%2Bramen%2Caps%2C99&sr=8-2&th=1,MR-NOODLES-Cup-Spicy-Chicken-64gx12.jpg,Spicy Food
MAONO Podcast Equipment Bundle Audio mixer All-in-One Podcast Production Studio,All-in-one podcast equipment kit that makes podcasting or live-streaming easy,135.99,4.2,https://www.amazon.ca/Bundle-MAONO-MaonoCaster-Interface-All-One-Podcast-AU-AM200-S1/dp/B09TPB8LW6?crid=3UIA09ILYM8NF&dib=eyJ2IjoiMSJ9.7oeAJP46vA7RKKMzutQ20peQ7ifxrfkkegoi9FUOAa3vpxjyasf7Keb1SjP75AqL5rNWLIZfZUjLRAv-5zkzIR5qxGjwuIRJCqE8iHySvuZ8jnQwnyn8Rf_YTuJSgOQSRwxDNb_V92DX_vZNqhZkPQYJu_YLNBsSFPZo8EdTjo0W21L1AP8ovchuoaT6gLZxFeROs-8jf8YWfjv2lDUioimMNRCzbsP-WvdAaUB5YvgA5o8iysp9i_BfeS3INk4rll1iqDobK-6bZQM_vME38wJBu5ctOXDQz_uSIwxOAG4.pcNFDoSfiB-J-W_LhP3Vy6Z6y7-YpxEsW0bGnAicSh4&dib_tag=se&keywords=podcast%2Bequipment%2Bkit&qid=1744090629&sprefix=podcast%2Bequ%2Caps%2C81&sr=8-5&th=1,MAONO-Podcast-Equipment-Bundle-Audio-mixer.jpg,Podcasts
